194.149.128.0/19 #AS5379 MK-UKIM-1, MK
185.230.56.0/22 #AS5581 INTERSPACE-AS-GLOBAL, MK
37.25.80.0/21 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
46.217.0.0/16 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
62.77.136.0/21 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
62.162.0.0/16 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
62.220.192.0/19 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
77.28.0.0/15 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
79.125.128.0/17 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
95.156.0.0/18 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
195.26.128.0/19 #AS6821 MT-AS-OWN bul. Orce Nikolov bb, MK
212.13.64.0/19 #AS8830 UNET-AS-, MK
212.110.95.0/24 #AS9172 MK-MOL-AS, MK
