196.50.16.0/22 #AS328318 MALIREN-AS Réseau National d'Education et de Recherche du Mali - MALIREN, ML
102.165.96.0/22 #AS328284 SMDT1-AS Société Malienne de Transmission et de Diffusion, ML
102.165.100.0/24 #AS328284 SMDT1-AS Société Malienne de Transmission et de Diffusion, ML
102.68.176.0/22 #AS328253 MALI-ATEL ALPHA TELECOMMUNICATION MALI-ATEL-S.A, ML
102.222.204.0/22 #AS328253 MALI-ATEL ALPHA TELECOMMUNICATION MALI-ATEL-S.A, ML
196.251.156.0/22 #AS328253 MALI-ATEL ALPHA TELECOMMUNICATION MALI-ATEL-S.A, ML
41.203.192.0/20 #AS36864 AFRIBONEMALI-AS AFRIBONE Mali SA, ML
165.90.208.0/20 #AS36864 AFRIBONEMALI-AS AFRIBONE Mali SA, ML
196.49.48.0/24 #AS36864 AFRIBONEMALI-AS AFRIBONE Mali SA, ML
196.200.48.0/20 #AS36864 AFRIBONEMALI-AS AFRIBONE Mali SA, ML
198.73.186.0/24 #AS36864 AFRIBONEMALI-AS AFRIBONE Mali SA, ML
102.130.232.0/22 #AS21271 SOTELMABGP The AS will be use to connect our two links to internet through, ML
196.10.216.0/22 #AS21271 SOTELMABGP The AS will be use to connect our two links to internet through, ML
217.64.96.0/20 #AS21271 SOTELMABGP The AS will be use to connect our two links to internet through, ML
41.73.96.0/19 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
41.221.176.0/20 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
102.212.72.0/23 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
102.212.74.0/24 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
102.213.136.0/22 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
102.217.24.0/22 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
102.221.132.0/22 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
154.118.128.0/18 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
196.10.220.0/23 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
196.200.80.0/20 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
197.155.128.0/18 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
217.170.156.0/22 #AS30985 IKATELNET IKATEL SA. Service Provider in Mali, ML
