27.109.128.0/17 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
45.64.20.0/22 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
60.246.0.0/16 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
103.233.188.0/22 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
113.52.64.0/18 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
122.100.128.0/17 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
124.198.133.0/24 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
125.31.0.0/18 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
180.94.128.0/18 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
182.93.0.0/18 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
202.86.128.0/18 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
202.174.0.0/22 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
202.175.0.0/17 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
202.175.160.0/19 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
205.215.0.0/19 #AS4609 CTM-MO Companhia de Telecomunicacoes de Macau SARL, MO
161.64.0.0/16 #AS7582 UMAC-AS-AP University of Macau, MO
192.175.48.1/32 #AS24335 CTM-CUST-AS-AP Customer AS, MO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
5.206.224.0/21 #AS47674 NETSOLUTIONS, MO
171.22.255.0/24 #AS47674 NETSOLUTIONS, MO
185.11.145.0/24 #AS47674 NETSOLUTIONS, MO
185.11.146.0/23 #AS47674 NETSOLUTIONS, MO
185.38.141.0/24 #AS47674 NETSOLUTIONS, MO
185.38.142.0/23 #AS47674 NETSOLUTIONS, MO
185.61.137.0/24 #AS47674 NETSOLUTIONS, MO
185.61.138.0/23 #AS47674 NETSOLUTIONS, MO
185.62.188.0/23 #AS47674 NETSOLUTIONS, MO
185.62.190.0/24 #AS47674 NETSOLUTIONS, MO
185.236.228.0/22 #AS47674 NETSOLUTIONS, MO
188.93.232.0/21 #AS47674 NETSOLUTIONS, MO
188.209.49.0/24 #AS47674 NETSOLUTIONS, MO
188.209.52.0/24 #AS47674 NETSOLUTIONS, MO
192.175.48.1/32 #AS64061 MT-TRANSIT MT-TRANSIT, MO - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
43.247.24.0/22 #AS133613 MTEL-AS MTel telecommunication company ltd., MO
103.237.124.0/22 #AS133613 MTEL-AS MTel telecommunication company ltd., MO
149.102.96.0/20 #AS133613 MTEL-AS MTel telecommunication company ltd., MO
154.18.148.0/22 #AS133613 MTEL-AS MTel telecommunication company ltd., MO
205.198.48.0/20 #AS133613 MTEL-AS MTel telecommunication company ltd., MO
206.119.128.0/19 #AS133613 MTEL-AS MTel telecommunication company ltd., MO
45.123.200.0/22 #AS134550 CITM-NGIA-MRC-MO Centro de Informacoes Tecnologia de Macau, MO
103.192.44.0/22 #AS134550 CITM-NGIA-MRC-MO Centro de Informacoes Tecnologia de Macau, MO
74.119.64.0/21 #AS136167 CHINATELECOM-AS-AP CHINA TELECOM MACAU COMPANY LIMITED, MO
103.143.92.0/23 #AS136167 CHINATELECOM-AS-AP CHINA TELECOM MACAU COMPANY LIMITED, MO
202.75.248.0/22 #AS136167 CHINATELECOM-AS-AP CHINA TELECOM MACAU COMPANY LIMITED, MO
203.223.17.0/24 #AS136167 CHINATELECOM-AS-AP CHINA TELECOM MACAU COMPANY LIMITED, MO
203.223.18.0/23 #AS136167 CHINATELECOM-AS-AP CHINA TELECOM MACAU COMPANY LIMITED, MO
203.223.20.0/24 #AS136167 CHINATELECOM-AS-AP CHINA TELECOM MACAU COMPANY LIMITED, MO
103.96.60.0/22 #AS136793 MCN-AS-AP MACAU COMMUNICATION NETWORKS COMPANY LIMITED, MO
123.253.200.0/22 #AS136793 MCN-AS-AP MACAU COMMUNICATION NETWORKS COMPANY LIMITED, MO
103.5.218.0/23 #AS137538 CSTCL-AS-AP Caldawin Software Technology Company Limited, MO
103.88.176.0/22 #AS138164 MUST-AS-AP Macau University of Science and Technology, MO
103.240.56.0/23 #AS138164 MUST-AS-AP Macau University of Science and Technology, MO
165.49.231.0/24 #AS201763 DAYHLTD-AS, MO
