8.3.112.0/20 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
43.247.60.0/22 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
45.117.196.0/22 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
49.128.107.0/24 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
64.86.72.0/22 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
64.193.122.0/23 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
69.44.202.0/23 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
103.1.96.0/22 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
103.3.240.0/22 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
103.57.232.0/22 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
154.18.72.0/21 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
154.18.80.0/23 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
202.88.64.0/19 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
202.123.128.0/19 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
205.198.96.0/21 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
209.92.162.0/23 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
210.23.80.0/20 #AS7131 PTIPACIFICAINC-AS-AP PTI Pacifica Inc., MP
192.175.48.1/32 #AS9839 MTC-GTEPACIFICA-AS Micronesian Telecommunications Corp, MP - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
