80.243.240.0/20 #AS20776 OUTREMER-AS, MQ
82.197.96.0/19 #AS20776 OUTREMER-AS, MQ
89.3.240.0/20 #AS20776 OUTREMER-AS, MQ
89.16.0.0/19 #AS20776 OUTREMER-AS, MQ
92.49.64.0/18 #AS20776 OUTREMER-AS, MQ
93.176.0.0/18 #AS20776 OUTREMER-AS, MQ
109.62.0.0/17 #AS20776 OUTREMER-AS, MQ
109.203.224.0/19 #AS20776 OUTREMER-AS, MQ
185.13.216.0/22 #AS20776 OUTREMER-AS, MQ
188.115.64.0/18 #AS20776 OUTREMER-AS, MQ
212.198.242.0/23 #AS20776 OUTREMER-AS, MQ
212.198.254.0/23 #AS20776 OUTREMER-AS, MQ
217.175.160.0/19 #AS20776 OUTREMER-AS, MQ
