41.188.64.0/18 #AS29544 MAURITEL, MR
82.151.64.0/19 #AS29544 MAURITEL, MR
41.223.96.0/22 #AS37508 MATTEL, MR
102.214.208.0/22 #AS37508 MATTEL, MR
41.138.128.0/19 #AS37541 CHINGUITEL, MR
197.231.0.0/19 #AS37541 CHINGUITEL, MR
192.175.48.1/32 #AS328008 RIMIX, MR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
102.219.207.0/24 #AS328850 CSS-AS, MR
102.206.224.0/22 #AS328997 RIMATEL, MR
102.214.128.0/22 #AS328997 RIMATEL, MR
102.216.216.0/22 #AS328997 RIMATEL, MR
102.205.52.0/23 #AS329048 NETCOM-AS, MR
102.205.55.0/24 #AS329048 NETCOM-AS, MR
102.216.27.0/24 #AS329048 NETCOM-AS, MR
102.215.95.0/24 #AS329119 A2Ltd-AS, MR
192.175.48.1/32 #AS329555 SAHEL_TELECOM_SA, MR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
