103.97.142.0/23 #AS133408 UNITEN-AS-AP UNIVERSITI TENAGA NASIONAL SDN BHD, MY
103.97.152.0/24 #AS133408 UNITEN-AS-AP UNIVERSITI TENAGA NASIONAL SDN BHD, MY
103.227.140.0/24 #AS133408 UNITEN-AS-AP UNIVERSITI TENAGA NASIONAL SDN BHD, MY
116.197.0.0/17 #AS10081 DIGI-MY DiGi Telecommunications Sdn Bhd, MY
203.92.128.0/19 #AS10081 DIGI-MY DiGi Telecommunications Sdn Bhd, MY
43.254.76.0/24 #AS132196 DANAWA-AS-AP Danawa Resources Sdn Bhd, MY
103.238.124.0/23 #AS132196 DANAWA-AS-AP Danawa Resources Sdn Bhd, MY
103.238.126.0/24 #AS132196 DANAWA-AS-AP Danawa Resources Sdn Bhd, MY
120.50.48.0/20 #AS132196 DANAWA-AS-AP Danawa Resources Sdn Bhd, MY
202.129.160.0/21 #AS9655 TPMNETWORK-AS-AP Technology Park Malaysia Corporation Sdn. Bhd, MY
202.129.168.0/24 #AS9655 TPMNETWORK-AS-AP Technology Park Malaysia Corporation Sdn. Bhd, MY
202.129.173.0/24 #AS9655 TPMNETWORK-AS-AP Technology Park Malaysia Corporation Sdn. Bhd, MY
202.129.174.0/23 #AS9655 TPMNETWORK-AS-AP Technology Park Malaysia Corporation Sdn. Bhd, MY
103.198.52.0/23 #AS134722 UTEM-AS-AP Universiti Teknikal Malaysia Melaka, MY
61.11.208.0/20 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
103.3.72.0/22 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
116.0.96.0/19 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
119.110.0.0/18 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
119.110.128.0/18 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
124.158.224.0/19 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
202.76.224.0/20 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
203.223.128.0/19 #AS24218 GTC-MY-PIP-AS Global Transit Communications - Malaysia, MY
43.225.108.0/22 #AS132198 ICORE-MY ICORE TECHNOLOGY, MY
103.6.244.0/22 #AS132198 ICORE-MY ICORE TECHNOLOGY, MY
45.126.88.0/22 #AS134553 I-SKILL-AS-AP i-Skill Dynamics Sdn Bhd, MY
103.236.228.0/22 #AS134553 I-SKILL-AS-AP i-Skill Dynamics Sdn Bhd, MY
103.148.105.0/24 #AS140092 UNIVERSITI2-AS-AP UNIVERSITI TEKNIKAL MARA SDN. BHD., MY
103.191.76.0/24 #AS136727 JTS-AS-AP Jimat Technology Solution, MY
103.161.166.0/23 #AS139886 BMB-AS-AP Bursa Malaysia Berhad, MY
