43.255.236.0/22 #AS17480 CANL CANL, NC
103.23.52.0/22 #AS17480 CANL CANL, NC
113.21.96.0/19 #AS17480 CANL CANL, NC
202.171.64.0/20 #AS17480 CANL CANL, NC
203.147.64.0/20 #AS17480 CANL CANL, NC
203.147.80.0/21 #AS17480 CANL CANL, NC
220.156.160.0/20 #AS17480 CANL CANL, NC
43.224.192.0/22 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
61.5.208.0/20 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
101.101.0.0/18 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
103.43.156.0/22 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
114.69.192.0/19 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
180.214.96.0/21 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
202.87.128.0/19 #AS18200 OPT-NC-AS-AP Office des Postes et Telecommunications New-Caledonia, NC
192.175.48.1/32 #AS24053 DATASERVICESPACIFIC-AS-AP Data Services Pacific, NC - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
