102.221.88.0/22 #AS328779 PROLINE-TECHNOLOGIES Proline Technologies Limited, NG
102.23.164.0/22 #AS328585 MEGAMORE MegaMore Wireless Broadband Limited, NG
102.206.136.0/22 #AS328585 MEGAMORE MegaMore Wireless Broadband Limited, NG
102.216.192.0/22 #AS328585 MEGAMORE MegaMore Wireless Broadband Limited, NG
41.215.244.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
102.67.12.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
102.67.21.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
102.212.209.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
102.219.152.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
102.219.154.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
197.157.219.0/24 #AS329267 FBL5-AS FIBERONE BROADBAND LTD, NG
102.207.136.0/22 #AS329503 NGCOM-LASTMILE-SOLUTION-LTD NGCOM LASTMILE SOLUTION LTD, NG
102.204.252.0/24 #AS329613 IRIS-SMART-TECHNOLOGIES Iris Smart Technologies Limited, NG
41.76.192.0/21 #AS37280 BROADBASE-AS Broadbased communications Ltd Nigeria, NG
102.219.223.0/24 #AS328861 NIMC-AS National Identity Management Commission, NG
196.3.61.0/24 #AS328613 TRAKATEL Trakatel Limited, NG
196.3.62.0/24 #AS328613 TRAKATEL Trakatel Limited, NG
156.0.248.0/22 #AS328203 PLATINUM-INDEX-AS Platinum Index Data Communications Ltd, NG
41.190.1.0/24 #AS37076 EMTS-NIGERIA-AS AS NUMBER for EMTS NIGERIA, NG
41.190.2.0/23 #AS37076 EMTS-NIGERIA-AS AS NUMBER for EMTS NIGERIA, NG
41.190.4.0/22 #AS37076 EMTS-NIGERIA-AS AS NUMBER for EMTS NIGERIA, NG
41.190.8.0/24 #AS37076 EMTS-NIGERIA-AS AS NUMBER for EMTS NIGERIA, NG
41.190.12.0/22 #AS37076 EMTS-NIGERIA-AS AS NUMBER for EMTS NIGERIA, NG
41.190.16.0/20 #AS37076 EMTS-NIGERIA-AS AS NUMBER for EMTS NIGERIA, NG
102.217.255.0/24 #AS329019 TLIL1-AS Tangerine Life Insurance Limited, NG
102.218.80.0/22 #AS328945 NSL7-AS Netaccess Systems Limited, NG
102.219.96.0/22 #AS328905 NCC-AS Nigerian Communications Commission (NCC), NG
41.67.128.0/18 #AS30998 NAL-AS Netcom Africa Limited, NG
41.219.128.0/18 #AS30998 NAL-AS Netcom Africa Limited, NG
196.207.0.0/20 #AS30998 NAL-AS Netcom Africa Limited, NG
196.220.0.0/19 #AS30998 NAL-AS Netcom Africa Limited, NG
41.77.46.0/24 #AS37345 MEDALLION-COMMUNICATIONS Medallion Communications Limited, NG
41.79.64.0/22 #AS37347 NGCOM-AS NGCOM, NG
102.22.216.0/21 #AS37347 NGCOM-AS NGCOM, NG
102.212.240.0/22 #AS37347 NGCOM-AS NGCOM, NG
102.216.32.0/22 #AS37347 NGCOM-AS NGCOM, NG
102.221.44.0/22 #AS37347 NGCOM-AS NGCOM, NG
168.253.112.0/21 #AS37347 NGCOM-AS NGCOM, NG
102.207.208.0/22 #AS329490 PROMETHEAN-CONSULTING Promethean Consulting Limited, NG
