138.97.160.0/22 #AS263751 CASAVISION CASAVISION S.A., NI
38.226.160.0/20 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
45.170.224.0/22 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.1.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.8.0/23 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.12.0/22 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.16.0/22 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.28.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.34.0/23 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.36.0/23 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.43.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.49.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.81.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.82.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.90.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.100.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.129.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.143.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.144.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
165.98.219.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
192.136.42.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
200.9.187.0/24 #AS267797 EMPRESA-NACIONAL-TRANSMISION EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL), NI
161.0.32.0/19 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
165.98.130.0/24 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
165.98.224.0/24 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
165.98.228.0/24 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
165.98.247.0/24 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
190.106.48.0/20 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
191.103.112.0/20 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
200.85.160.0/20 #AS25607 IBW-COMMUNICATIONS IBW Communications, NI
165.98.32.0/24 #AS52242 YOTA-NICARAGUA Yota De Nicaragua, NI
190.181.128.0/19 #AS52242 YOTA-NICARAGUA Yota De Nicaragua, NI
