188.65.224.0/21 #AS56500 BEEONE BeeOne B.V., NL
141.93.0.0/16 #AS61357 AHOLD Koninklijke Ahold Delhaize N.V., NL
185.15.164.0/22 #AS197727 APPNET-AS KPN B.V., NL
194.151.12.0/24 #AS197727 APPNET-AS KPN B.V., NL
194.151.85.0/24 #AS197727 APPNET-AS KPN B.V., NL
185.100.192.0/22 #AS31433 BAKKERGROEP STEF Nederland B.V., NL
141.105.144.0/21 #AS57124 GM-AS Gemeente Maastricht, NL
185.117.76.0/22 #AS57124 GM-AS Gemeente Maastricht, NL
185.15.14.0/23 #AS61212 TELEENA-AS Tata Communications (Netherlands) B.V., NL
129.35.80.0/22 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
129.35.96.0/20 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
129.35.160.0/20 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
170.225.128.0/20 #AS12980 AT-T-GLOBAL AT&T Global Network Services Nederland B.V., NL
195.66.134.0/23 #AS39022 DEEPMEDIA-AS Deep Media / V.A.J. Bruijnes (sole proprietorship), NL
185.166.48.0/22 #AS206730 IDBAS Stichting Ipse de Bruggen, NL
185.43.160.0/22 #AS202037 INGISP-AS ING Hubs B.V., NL
193.0.14.0/23 #AS25152 K-ROOT-SERVER Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL
82.39.162.0/23 #AS205247 XS-ANYWHERE-AS XS Anywhere B.V., NL
185.224.108.0/22 #AS205247 XS-ANYWHERE-AS XS Anywhere B.V., NL
217.170.15.0/24 #AS5418 NERDNET-AS nerdnet, NL
81.18.160.0/20 #AS24642 NL-CAVEO Caveo Internet BV, NL
185.70.212.0/23 #AS24642 NL-CAVEO Caveo Internet BV, NL
217.68.48.0/20 #AS29263 HAAGNET-AS Gemeente Den Haag, NL
79.99.232.0/21 #AS25418 CQINT-NL CQ International B.V., NL
91.240.200.0/23 #AS25418 CQINT-NL CQ International B.V., NL
156.67.14.0/24 #AS25418 CQINT-NL CQ International B.V., NL
156.67.36.0/23 #AS25418 CQINT-NL CQ International B.V., NL
185.154.224.0/22 #AS25418 CQINT-NL CQ International B.V., NL
37.72.108.0/24 #AS42093 INTERRACKS-AS InterRacks B.V., NL
91.205.192.0/23 #AS42093 INTERRACKS-AS InterRacks B.V., NL
91.224.242.0/23 #AS42093 INTERRACKS-AS InterRacks B.V., NL
