188.65.24.0/23 #AS15679 CIS, OM
188.65.26.0/24 #AS15679 CIS, OM
188.65.29.0/24 #AS15679 CIS, OM
188.65.30.0/24 #AS15679 CIS, OM
5.32.192.0/18 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
5.36.0.0/15 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.0.0/19 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.32.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.38.0/23 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.40.0/21 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.48.0/20 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.64.0/18 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.40.128.0/17 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
37.41.0.0/16 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
45.135.88.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
62.61.160.0/19 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
62.231.192.0/18 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
77.83.60.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.0.0/19 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.40.0/21 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.64.0/18 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.128.0/20 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.144.0/21 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.152.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.156.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.160.0/20 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
82.178.192.0/18 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
85.154.0.0/16 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
87.121.168.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
87.121.172.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
87.121.174.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
134.0.128.0/18 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
134.0.192.0/20 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
134.0.212.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
170.189.159.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
170.189.243.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.27.88.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.53.240.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.64.24.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.186.205.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.186.206.0/23 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.226.124.0/23 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.233.168.0/23 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.233.170.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
185.255.204.0/22 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
188.65.24.0/23 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
188.65.29.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
188.65.30.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
188.140.128.0/17 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
193.203.254.0/24 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
212.72.0.0/19 #AS28885 OMANTEL-NAP-AS OmanTel NAP, OM
5.21.0.0/16 #AS50010 NAWRAS-AS Sultanate of Oman, OM
5.162.0.0/16 #AS50010 NAWRAS-AS Sultanate of Oman, OM
37.28.0.0/17 #AS50010 NAWRAS-AS Sultanate of Oman, OM
37.200.128.0/17 #AS50010 NAWRAS-AS Sultanate of Oman, OM
46.40.192.0/18 #AS50010 NAWRAS-AS Sultanate of Oman, OM
62.231.248.0/24 #AS50010 NAWRAS-AS Sultanate of Oman, OM
91.132.64.0/22 #AS50010 NAWRAS-AS Sultanate of Oman, OM
145.255.64.0/18 #AS50010 NAWRAS-AS Sultanate of Oman, OM
185.6.220.0/22 #AS50010 NAWRAS-AS Sultanate of Oman, OM
188.66.128.0/17 #AS50010 NAWRAS-AS Sultanate of Oman, OM
188.135.0.0/17 #AS50010 NAWRAS-AS Sultanate of Oman, OM
185.27.88.0/23 #AS60680 OMANTRA-AS, OM
192.175.48.1/32 #AS201413 AS50010, OM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
77.83.60.0/22 #AS201684 ODPASN, OM
87.121.168.0/22 #AS201684 ODPASN, OM
87.121.172.0/23 #AS201684 ODPASN, OM
87.121.174.0/24 #AS201684 ODPASN, OM
185.64.24.0/22 #AS201684 ODPASN, OM
193.203.254.0/24 #AS201684 ODPASN, OM
192.175.48.1/32 #AS202163 ALTAREK, OM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.255.204.0/22 #AS202655 MOE, OM
