168.77.0.0/19 #AS3551 Universidad Tecnologica de Panama, PA
168.77.32.0/20 #AS3551 Universidad Tecnologica de Panama, PA
168.77.48.0/21 #AS3551 Universidad Tecnologica de Panama, PA
168.77.56.0/23 #AS3551 Universidad Tecnologica de Panama, PA
168.77.59.0/24 #AS3551 Universidad Tecnologica de Panama, PA
168.77.60.0/22 #AS3551 Universidad Tecnologica de Panama, PA
168.77.64.0/18 #AS3551 Universidad Tecnologica de Panama, PA
168.77.128.0/18 #AS3551 Universidad Tecnologica de Panama, PA
168.77.192.0/21 #AS3551 Universidad Tecnologica de Panama, PA
168.77.200.0/22 #AS3551 Universidad Tecnologica de Panama, PA
168.77.215.0/24 #AS3551 Universidad Tecnologica de Panama, PA
168.77.216.0/21 #AS3551 Universidad Tecnologica de Panama, PA
168.77.224.0/19 #AS3551 Universidad Tecnologica de Panama, PA
200.6.79.0/24 #AS6193 Corporacion La Prensa S.A., PA
192.175.48.1/32 #AS10391 InteRED Panama, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.108.44.0/23 #AS10476 Cable Onda, PA
168.77.209.0/24 #AS11556 Cable & Wireless Panama, PA
181.38.0.0/16 #AS11556 Cable & Wireless Panama, PA
181.178.0.0/15 #AS11556 Cable & Wireless Panama, PA
186.72.0.0/14 #AS11556 Cable & Wireless Panama, PA
190.32.0.0/14 #AS11556 Cable & Wireless Panama, PA
200.33.125.0/24 #AS11556 Cable & Wireless Panama, PA
200.115.161.0/24 #AS11556 Cable & Wireless Panama, PA
200.115.164.0/24 #AS11556 Cable & Wireless Panama, PA
200.115.168.0/23 #AS11556 Cable & Wireless Panama, PA
200.115.175.0/24 #AS11556 Cable & Wireless Panama, PA
201.131.148.0/22 #AS11556 Cable & Wireless Panama, PA
201.224.0.0/14 #AS11556 Cable & Wireless Panama, PA
192.175.48.1/32 #AS11673 Internet Panama, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS14377 PSINet Panama, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
138.186.88.0/22 #AS14709 Cable Onda, PA
148.177.120.0/24 #AS14709 Cable Onda, PA
181.197.52.0/22 #AS14709 Cable Onda, PA
181.197.124.0/22 #AS14709 Cable Onda, PA
190.57.32.0/23 #AS14709 Cable Onda, PA
190.57.40.0/21 #AS14709 Cable Onda, PA
190.140.250.0/24 #AS14709 Cable Onda, PA
190.141.31.0/24 #AS14709 Cable Onda, PA
190.141.172.0/24 #AS14709 Cable Onda, PA
200.108.32.0/19 #AS14709 Cable Onda, PA
192.175.48.1/32 #AS15075 Wireless Communications Panama, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS15241 Unete de Panama, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
64.213.56.0/21 #AS18809 Cable Onda, PA
64.215.120.0/21 #AS18809 Cable Onda, PA
181.197.0.0/17 #AS18809 Cable Onda, PA
181.197.128.0/18 #AS18809 Cable Onda, PA
186.179.112.0/20 #AS18809 Cable Onda, PA
186.188.128.0/17 #AS18809 Cable Onda, PA
190.2.224.0/20 #AS18809 Cable Onda, PA
190.5.224.0/19 #AS18809 Cable Onda, PA
190.57.32.0/20 #AS18809 Cable Onda, PA
190.122.160.0/20 #AS18809 Cable Onda, PA
190.140.0.0/15 #AS18809 Cable Onda, PA
190.218.0.0/15 #AS18809 Cable Onda, PA
200.3.200.0/21 #AS18809 Cable Onda, PA
200.46.0.0/19 #AS18809 Cable Onda, PA
200.46.32.0/22 #AS18809 Cable Onda, PA
200.46.37.0/24 #AS18809 Cable Onda, PA
200.46.38.0/23 #AS18809 Cable Onda, PA
200.46.40.0/24 #AS18809 Cable Onda, PA
200.46.45.0/24 #AS18809 Cable Onda, PA
200.46.46.0/24 #AS18809 Cable Onda, PA
200.46.48.0/20 #AS18809 Cable Onda, PA
200.46.64.0/18 #AS18809 Cable Onda, PA
200.46.128.0/17 #AS18809 Cable Onda, PA
200.75.192.0/18 #AS18809 Cable Onda, PA
200.90.128.0/20 #AS18809 Cable Onda, PA
200.108.32.0/19 #AS18809 Cable Onda, PA
200.115.128.0/19 #AS18809 Cable Onda, PA
200.124.0.0/19 #AS18809 Cable Onda, PA
201.218.64.0/18 #AS18809 Cable Onda, PA
201.218.192.0/18 #AS18809 Cable Onda, PA
200.46.0.0/16 #AS21599 Cable Onda, PA
200.90.128.0/22 #AS21599 Cable Onda, PA
200.90.132.0/24 #AS21599 Cable Onda, PA
201.218.213.0/24 #AS21599 Cable Onda, PA
192.175.48.1/32 #AS21883 CHARTER COMMUNICATIONS INTERNATIONAL PANAMA, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
148.222.59.0/24 #AS22010 Primer Banco del Istmo, PA
200.46.145.0/24 #AS22010 Primer Banco del Istmo, PA
192.175.48.1/32 #AS22382 Mossack & Fonseca, PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS22628 Alta Tecnologia ALTEC, S.A., PA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.46.36.0/24 #AS23360 Morgan & Morgan, PA
190.5.241.0/24 #AS26105 Cable Onda, PA
186.5.130.0/23 #AS26426 Columbus Networks Panama, PA
186.5.132.0/22 #AS26426 Columbus Networks Panama, PA
186.5.136.0/21 #AS26426 Columbus Networks Panama, PA
