103.20.76.0/22 #AS17828 PNGDATACOLIMITED-AS-PG PNG DATACO LTD, PG
103.49.207.0/24 #AS17828 PNGDATACOLIMITED-AS-PG PNG DATACO LTD, PG
202.1.32.0/20 #AS17828 PNGDATACOLIMITED-AS-PG PNG DATACO LTD, PG
202.58.128.0/22 #AS17828 PNGDATACOLIMITED-AS-PG PNG DATACO LTD, PG
202.165.192.0/20 #AS17828 PNGDATACOLIMITED-AS-PG PNG DATACO LTD, PG
103.15.113.0/24 #AS38009 TELIKOM-PNG-AS-AP Telikom PNG Satellite Tier 1 AS Internet Service, PG
124.240.192.0/19 #AS38009 TELIKOM-PNG-AS-AP Telikom PNG Satellite Tier 1 AS Internet Service, PG
202.52.133.0/24 #AS38009 TELIKOM-PNG-AS-AP Telikom PNG Satellite Tier 1 AS Internet Service, PG
192.175.48.1/32 #AS45826 TPNGMPLS-AS-AP Planning & Designs Department, PG - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
202.1.52.0/24 #AS45924 GLOBAL-AS-AP Global Technologies Limited, PG
202.171.240.0/21 #AS45924 GLOBAL-AS-AP Global Technologies Limited, PG
27.122.16.0/20 #AS55792 DATEC-PNG-AS-AP Datec-PNG, PG
103.3.168.0/22 #AS55792 DATEC-PNG-AS-AP Datec-PNG, PG
202.95.192.0/20 #AS55792 DATEC-PNG-AS-AP Datec-PNG, PG
14.192.72.0/22 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
45.207.62.0/23 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
103.9.226.0/24 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
103.14.88.0/22 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
103.16.156.0/22 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
103.209.54.0/24 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
154.81.51.0/24 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
154.197.40.0/22 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
154.198.0.0/24 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
180.150.252.0/22 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
202.1.54.0/23 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
202.42.184.0/22 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
203.83.16.0/21 #AS58460 DIGICELPNG-AS-AP Digicel PNG Ltd, PG
103.43.144.0/22 #AS63945 DIGITECPNG-AS-AP Digitec PNG Limited, PG
103.103.182.0/23 #AS63945 DIGITECPNG-AS-AP Digitec PNG Limited, PG
