38.158.208.0/20 #AS6208 FIBERX FiberX, PR
104.238.194.0/24 #AS6208 FIBERX FiberX, PR
154.64.223.0/24 #AS6208 FIBERX FiberX, PR
199.116.63.0/24 #AS6208 FIBERX FiberX, PR
23.167.48.0/24 #AS23379 AS-BBT Blackburn Technologies II LLC, PR
23.179.192.0/23 #AS23379 AS-BBT Blackburn Technologies II LLC, PR
45.33.192.0/23 #AS23379 AS-BBT Blackburn Technologies II LLC, PR
23.129.176.0/24 #AS397399 VELOZ-WIRELESS Veloz Wireless Corp, PR
23.161.16.0/24 #AS397598 GONET OSNET, PR
192.228.99.0/24 #AS399444 DWIRELESS DWireless & More Inc., PR
23.162.64.0/24 #AS35892 DREYFOUS DREYFOUS & ASSOCIATES, PR
38.247.116.0/22 #AS55068 SMARTNET-01 SMARTNET LLC, PR
