37.186.32.0/22 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.36.0/23 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.39.0/24 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.40.0/21 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.48.0/24 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.50.0/23 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.52.0/22 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
37.186.58.0/23 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
45.67.72.0/24 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
80.76.160.0/20 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
103.17.0.0/22 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
103.23.125.0/24 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
103.199.88.0/22 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
103.225.75.0/24 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
212.70.96.0/19 #AS48728 VODAFONEQATAR Vodafone Qatar P.Q.S.C, QA
