139.26.128.0/17 #AS327697 TELCO-OI-AS TELCO OI SAS, RE
164.160.68.0/22 #AS327697 TELCO-OI-AS TELCO OI SAS, RE
77.143.87.0/24 #AS34306 MOBIUS-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
77.143.88.0/24 #AS34306 MOBIUS-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
78.108.224.0/20 #AS34306 MOBIUS-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
80.69.208.0/20 #AS34306 MOBIUS-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
185.161.9.0/24 #AS34306 MOBIUS-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
5.57.96.0/19 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
41.242.124.0/22 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
62.61.192.0/18 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
77.137.224.0/19 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
77.143.0.0/16 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
109.122.128.0/18 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
129.122.64.0/18 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
168.253.128.0/18 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
185.147.224.0/22 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
195.115.116.0/22 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
213.55.0.0/18 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
213.222.64.0/18 #AS49902 SRR-AS SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS, RE
41.213.128.0/17 #AS37002 REUNICABLE-ASN Reunicable, RE
102.35.0.0/16 #AS37002 REUNICABLE-ASN Reunicable, RE
102.206.36.0/22 #AS37002 REUNICABLE-ASN Reunicable, RE
102.213.8.0/22 #AS37002 REUNICABLE-ASN Reunicable, RE
165.169.0.0/16 #AS37002 REUNICABLE-ASN Reunicable, RE
185.161.10.0/24 #AS37002 REUNICABLE-ASN Reunicable, RE
