188.164.211.0/24 #AS204357 VWRUS-AS AGR LLC, RU
45.8.110.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
46.243.174.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
91.208.136.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
141.101.239.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
178.170.166.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
178.170.234.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
188.72.78.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
195.128.158.0/24 #AS62010 THREEDATA-AS 3DATA LLC, RU
45.155.52.0/24 #AS44094 WEBHOST1-AS Webhost LLC, RU
91.213.248.0/24 #AS44094 WEBHOST1-AS Webhost LLC, RU
91.217.9.0/24 #AS44094 WEBHOST1-AS Webhost LLC, RU
91.236.136.0/24 #AS44094 WEBHOST1-AS Webhost LLC, RU
138.124.107.0/24 #AS44094 WEBHOST1-AS Webhost LLC, RU
185.179.188.0/22 #AS44094 WEBHOST1-AS Webhost LLC, RU
212.102.107.0/24 #AS44094 WEBHOST1-AS Webhost LLC, RU
62.76.131.0/24 #AS61992 UCI-AS Internet Identification Center Limited Liability Company, RU
84.42.118.0/23 #AS61992 UCI-AS Internet Identification Center Limited Liability Company, RU
195.209.135.0/24 #AS61992 UCI-AS Internet Identification Center Limited Liability Company, RU
195.209.136.0/24 #AS61992 UCI-AS Internet Identification Center Limited Liability Company, RU
194.190.96.0/22 #AS50958 WINTERNET OOO W-INTERNET, RU
193.104.102.0/24 #AS8706 VDA-AS LLC Volga-Dnepr Airlines, RU
188.93.108.0/22 #AS57011 SENET-AS Information- Analytical Agency IF LTD, RU
91.223.153.0/24 #AS56445 NNP-AS JSC Tomsknefteproduct VNK, RU
212.22.72.0/24 #AS209655 FIBERTEL LLC FIBERTEL, RU
176.112.96.0/20 #AS198616 ASMEDIAKVANT MediaKvant Ltd., RU
81.89.80.0/21 #AS39789 RU-ACTIVE Limited Liability Company Active, RU
89.207.72.0/21 #AS41123 GTS-AS Gorodskie Telekommunikatsionnye Sistemy LLC, RU
185.44.236.0/22 #AS41123 GTS-AS Gorodskie Telekommunikatsionnye Sistemy LLC, RU
192.109.214.0/23 #AS41123 GTS-AS Gorodskie Telekommunikatsionnye Sistemy LLC, RU
192.109.224.0/23 #AS41123 GTS-AS Gorodskie Telekommunikatsionnye Sistemy LLC, RU
91.239.239.0/24 #AS58240 ASNPODS NPO Diagnosticheskie sistemyi Ltd., RU
78.136.192.0/22 #AS49980 ARIEL-AS Mihail Juriwitsch Novikov, RU
88.204.0.0/21 #AS49980 ARIEL-AS Mihail Juriwitsch Novikov, RU
88.204.108.0/23 #AS49980 ARIEL-AS Mihail Juriwitsch Novikov, RU
213.183.119.0/24 #AS49980 ARIEL-AS Mihail Juriwitsch Novikov, RU
31.148.248.0/23 #AS58347 AIK-AS AiK LLC, RU
91.103.142.0/24 #AS58347 AIK-AS AiK LLC, RU
93.170.5.0/24 #AS58347 AIK-AS AiK LLC, RU
95.46.159.0/24 #AS58347 AIK-AS AiK LLC, RU
95.47.36.0/22 #AS58347 AIK-AS AiK LLC, RU
95.47.234.0/23 #AS58347 AIK-AS AiK LLC, RU
95.47.243.0/24 #AS58347 AIK-AS AiK LLC, RU
130.49.144.0/23 #AS58347 AIK-AS AiK LLC, RU
193.135.12.0/24 #AS58347 AIK-AS AiK LLC, RU
194.85.99.0/24 #AS209701 SBERBANK-FACTORING Sberbank-factoring Ltd., RU
195.209.99.0/24 #AS209701 SBERBANK-FACTORING Sberbank-factoring Ltd., RU
45.8.125.0/24 #AS215811 FIZIK Leonid Valerevich Naumov, RU
45.8.127.0/24 #AS215811 FIZIK Leonid Valerevich Naumov, RU
45.9.195.0/24 #AS203597 STEKSPB-AS STEK LLC, RU
194.190.151.0/24 #AS203597 STEKSPB-AS STEK LLC, RU
46.174.248.0/21 #AS56326 ASDEVYATKA 9-ka.ru Ltd., RU
176.108.48.0/21 #AS56326 ASDEVYATKA 9-ka.ru Ltd., RU
45.155.92.0/22 #AS208177 AS-CENTRINVEST Public Joint-stock company commercial Bank Center-invest, RU
83.217.8.0/24 #AS51446 KATTELECOMNET Argaev Artem Sergeyevich, RU
83.217.12.0/23 #AS51446 KATTELECOMNET Argaev Artem Sergeyevich, RU
80.90.249.0/24 #AS8331 RINET-AS JSC ER-Telecom Holding, RU
80.90.252.0/24 #AS8331 RINET-AS JSC ER-Telecom Holding, RU
80.90.254.0/24 #AS8331 RINET-AS JSC ER-Telecom Holding, RU
195.54.213.0/24 #AS8331 RINET-AS JSC ER-Telecom Holding, RU
195.54.214.0/24 #AS8331 RINET-AS JSC ER-Telecom Holding, RU
185.43.144.0/24 #AS206213 ASZHUCKOV Zhuchkov Mikhail, RU
195.144.243.0/24 #AS201016 BERCUT-AS NPF Berkut Ltd, RU
77.87.200.0/21 #AS43404 UCARU-AS Fastnet LLC, RU
89.23.32.0/19 #AS43404 UCARU-AS Fastnet LLC, RU
91.221.0.0/23 #AS51635 E-MORDOVIA State Autonomous Institution of the Republic of Mordovia Gosinform, RU
80.72.224.0/20 #AS20870 KAVKAZ-TRANSTELECOM-AS Joint Stock Company TransTeleCom, RU
83.69.64.0/19 #AS20870 KAVKAZ-TRANSTELECOM-AS Joint Stock Company TransTeleCom, RU
89.16.96.0/19 #AS20870 KAVKAZ-TRANSTELECOM-AS Joint Stock Company TransTeleCom, RU
31.41.245.0/24 #AS209520 GOZNAK-AS JSC Goznak, RU
194.226.183.0/24 #AS209520 GOZNAK-AS JSC Goznak, RU
195.209.130.0/24 #AS209520 GOZNAK-AS JSC Goznak, RU
93.170.174.0/24 #AS42704 ETALON-PLUS-AS Etalon+ Ltd., RU
93.171.142.0/24 #AS42704 ETALON-PLUS-AS Etalon+ Ltd., RU
93.171.177.0/24 #AS42704 ETALON-PLUS-AS Etalon+ Ltd., RU
93.171.205.0/24 #AS42704 ETALON-PLUS-AS Etalon+ Ltd., RU
45.148.243.0/24 #AS56529 RUAD-AS RuaD-Group LLC, RU
192.144.4.0/24 #AS56529 RUAD-AS RuaD-Group LLC, RU
91.210.148.0/22 #AS34990 SKYINET-AS Ltd. Cypher, RU
31.173.176.0/20 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
37.29.76.0/22 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
78.41.100.0/22 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
178.176.154.0/23 #AS35298 MF-MGSM-AS PJSC MegaFon, RU
91.228.30.0/23 #AS197831 DISKUS-AS Telekom Ltd, RU
91.234.80.0/22 #AS197831 DISKUS-AS Telekom Ltd, RU
91.244.80.0/20 #AS197831 DISKUS-AS Telekom Ltd, RU
176.104.120.0/21 #AS197831 DISKUS-AS Telekom Ltd, RU
78.40.222.0/24 #AS210989 VAC Private institution of culture Museum Victoria - the Art of Being Contemporary, RU
78.140.251.0/24 #AS211542 RKS-ENERGO RKS-ENERGO LLC, RU
84.244.0.0/19 #AS51034 DSI-EAS JSC ER-Telecom Holding, RU
91.185.40.0/23 #AS51034 DSI-EAS JSC ER-Telecom Holding, RU
94.137.192.0/19 #AS51034 DSI-EAS JSC ER-Telecom Holding, RU
91.216.126.0/24 #AS51081 TETRON-AS LLC TETRON, RU
62.89.193.0/24 #AS204271 SHOWJET-AS ShowJet OOO, RU
194.190.13.0/24 #AS49668 ASPECT-AS LLC Aspect, RU
45.85.65.0/24 #AS48995 NOVLINE-AS IE Gilaskhanov Said Visirpashaevich, RU
5.189.0.0/24 #AS201844 RU-KORUS-AS LLC Korus, RU
5.189.8.0/24 #AS201844 RU-KORUS-AS LLC Korus, RU
91.195.128.0/23 #AS43712 OPENSYSTEMS-AS Open Systems Ltd., RU
91.204.104.0/22 #AS43712 OPENSYSTEMS-AS Open Systems Ltd., RU
