41.242.140.0/22 #AS22690 AxiomNET-AS, RW
196.223.240.0/21 #AS22690 AxiomNET-AS, RW
41.186.0.0/16 #AS36890 MTNRW-ASN, RW
196.44.240.0/20 #AS36890 MTNRW-ASN, RW
41.60.151.0/24 #AS37006 LiquidTelecommunicationRwanda, RW
41.173.28.0/22 #AS37006 LiquidTelecommunicationRwanda, RW
41.173.32.0/22 #AS37006 LiquidTelecommunicationRwanda, RW
41.173.168.0/23 #AS37006 LiquidTelecommunicationRwanda, RW
41.173.248.0/21 #AS37006 LiquidTelecommunicationRwanda, RW
41.215.248.0/22 #AS37006 LiquidTelecommunicationRwanda, RW
41.216.96.0/20 #AS37006 LiquidTelecommunicationRwanda, RW
41.216.112.0/21 #AS37006 LiquidTelecommunicationRwanda, RW
41.216.120.0/22 #AS37006 LiquidTelecommunicationRwanda, RW
41.216.126.0/23 #AS37006 LiquidTelecommunicationRwanda, RW
41.223.224.0/22 #AS37006 LiquidTelecommunicationRwanda, RW
66.178.97.0/24 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.128.0/22 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.132.0/24 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.134.0/23 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.137.0/24 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.138.0/23 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.140.0/24 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.143.0/24 #AS37006 LiquidTelecommunicationRwanda, RW
196.12.144.0/20 #AS37006 LiquidTelecommunicationRwanda, RW
196.216.80.0/23 #AS37006 LiquidTelecommunicationRwanda, RW
41.222.244.0/22 #AS37010 National-University-Rwanda, RW
41.138.84.0/24 #AS37124 tigo-rw-as, RW
41.138.86.0/23 #AS37124 tigo-rw-as, RW
192.175.48.1/32 #AS37224 RINEX, RW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
41.74.160.0/20 #AS37228 Olleh-Rwanda-Networks, RW
105.178.0.0/17 #AS37228 Olleh-Rwanda-Networks, RW
105.179.0.0/19 #AS37228 Olleh-Rwanda-Networks, RW
197.243.0.0/17 #AS37228 Olleh-Rwanda-Networks, RW
41.197.0.0/16 #AS37619 BSC-AS, RW
154.68.64.0/22 #AS37654 RwEdNet-AS, RW
154.68.68.0/23 #AS37654 RwEdNet-AS, RW
154.68.70.0/24 #AS37654 RwEdNet-AS, RW
154.68.72.0/24 #AS37654 RwEdNet-AS, RW
154.68.94.0/24 #AS37654 RwEdNet-AS, RW
154.68.126.0/24 #AS37654 RwEdNet-AS, RW
192.175.48.1/32 #AS37736 MCSWEEN-TELECOM-Limited, RW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37737 MCSWEEN-TELECOM-Limited, RW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS60306 MCSWEEN-TELECOM-LIMITED, RW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS60712 MCSWEEN, RW - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
