202.1.171.0/24 #AS134525 SBT-AS-AP Solomon Telekom Co Ltd, SB
202.1.179.0/24 #AS134525 SBT-AS-AP Solomon Telekom Co Ltd, SB
103.166.98.0/23 #AS142279 SOLITECHLTD-AS-AP Solitech Ltd, SB
103.2.88.0/22 #AS45891 SBT-AS-AP Solomon Telekom Co Ltd, SB
202.1.160.0/19 #AS45891 SBT-AS-AP Solomon Telekom Co Ltd, SB
103.140.178.0/23 #AS139277 SIG-AS-AP Solomon Islands Government ICT Support Department, SB
45.11.45.0/24 #AS24013 SB SB Professional Services, SB
185.222.222.0/24 #AS24013 SB SB Professional Services, SB
103.9.50.0/24 #AS132468 SATSOL-NET-SB SATSOL LIMITED, SB
103.21.230.0/23 #AS132468 SATSOL-NET-SB SATSOL LIMITED, SB
103.115.80.0/23 #AS132468 SATSOL-NET-SB SATSOL LIMITED, SB
103.188.182.0/23 #AS132468 SATSOL-NET-SB SATSOL LIMITED, SB
202.63.254.0/23 #AS132468 SATSOL-NET-SB SATSOL LIMITED, SB
103.142.98.0/23 #AS139609 SISCC-AS-AP Solomon Islands Submarine Cable Company, SB
