92.240.251.0/24 #AS58014 ZUTOM ZUTOM s.r.o., SK
185.201.236.0/23 #AS58014 ZUTOM ZUTOM s.r.o., SK
185.201.239.0/24 #AS58014 ZUTOM ZUTOM s.r.o., SK
46.228.222.0/24 #AS49798 BBX BBX s.r.o., SK
91.219.132.0/22 #AS49798 BBX BBX s.r.o., SK
91.221.4.0/23 #AS49798 BBX BBX s.r.o., SK
185.140.28.0/22 #AS49798 BBX BBX s.r.o., SK
91.223.173.0/24 #AS57414 EUSTREAM-AS eustream as, SK
176.116.96.0/20 #AS58130 AS-RSNET rsnet s.r.o., SK
176.116.112.0/22 #AS58130 AS-RSNET rsnet s.r.o., SK
185.165.140.0/22 #AS58130 AS-RSNET rsnet s.r.o., SK
158.255.248.0/21 #AS51653 PRESNET-AS PRESNET s.r.o., SK
178.18.64.0/20 #AS51653 PRESNET-AS PRESNET s.r.o., SK
185.139.224.0/22 #AS51653 PRESNET-AS PRESNET s.r.o., SK
194.156.68.0/24 #AS51653 PRESNET-AS PRESNET s.r.o., SK
46.228.208.0/20 #AS48326 DATANETWORKS DataNetworks s.r.o., SK
94.229.32.0/20 #AS48326 DATANETWORKS DataNetworks s.r.o., SK
193.8.84.0/23 #AS48326 DATANETWORKS DataNetworks s.r.o., SK
193.8.92.0/23 #AS48326 DATANETWORKS DataNetworks s.r.o., SK
31.130.160.0/21 #AS56747 ASNELSON Nelson Services s.r.o., SK
85.248.235.0/24 #AS34443 PABK-AS 365.bank a. s., SK
185.60.119.0/24 #AS49659 GTS-SKYTOLL-AS SkyToll a. s., SK
195.168.110.0/24 #AS49659 GTS-SKYTOLL-AS SkyToll a. s., SK
84.245.88.0/23 #AS206198 ELVISDK-AS ELVISDK s.r.o., SK
85.248.24.0/22 #AS206198 ELVISDK-AS ELVISDK s.r.o., SK
193.57.212.0/22 #AS198113 SK-VODOTIKA-1-AS VODOTIKA a.s., SK
85.248.36.0/23 #AS212974 TOMANET TomaNet s.r.o., SK
91.216.146.0/24 #AS212974 TOMANET TomaNet s.r.o., SK
185.29.156.0/22 #AS60533 SATELIX SateliX s.r.o., SK
185.25.248.0/22 #AS60791 HGDATA HGdata s.r.o., SK
84.245.95.0/24 #AS202819 DATASYS DATASYS - edoma.net s.r.o., SK
185.142.48.0/22 #AS202819 DATASYS DATASYS - edoma.net s.r.o., SK
147.78.168.0/22 #AS209531 OSTV OSTV s.r.o., SK
194.110.119.0/24 #AS209531 OSTV OSTV s.r.o., SK
195.28.96.0/19 #AS8620 ALANATA Alanata a. s., SK
185.152.196.0/22 #AS60715 LOMBARD Lombard s.r.o., SK
192.145.84.0/22 #AS41318 FIRST-DATA-SLOVAKIA-AS First Data Slovakia s.r.o., SK
195.168.208.0/24 #AS41318 FIRST-DATA-SLOVAKIA-AS First Data Slovakia s.r.o., SK
46.38.153.0/24 #AS61335 OOO-SYSMEDIA-AS PE Denis Podolskii, SK
91.242.163.0/24 #AS61335 OOO-SYSMEDIA-AS PE Denis Podolskii, SK
80.81.224.0/20 #AS21019 SASRO-SK-AS S.A. spol. s r.o., SK
46.231.96.0/21 #AS48304 DIGMIA-AS1JBDI-RIPE Digmia s.r.o., SK
91.210.180.0/22 #AS48304 DIGMIA-AS1JBDI-RIPE Digmia s.r.o., SK
81.161.60.0/23 #AS59477 ASLIFEPC LIFEPC s.r.o., SK
85.248.124.0/24 #AS50242 LEVONET LEVONET s.r.o., SK
109.236.112.0/20 #AS50242 LEVONET LEVONET s.r.o., SK
92.245.26.0/24 #AS209816 MSPROFI-AS M.S.Profi s.r.o., SK
88.212.0.0/18 #AS42841 ANTIK ANTIK Telecom s.r.o, SK
185.61.16.0/22 #AS42841 ANTIK ANTIK Telecom s.r.o, SK
91.235.52.0/22 #AS57788 RINGIERSK-AS Ringier Slovakia Media s.r.o., SK
193.105.142.0/24 #AS196944 NIC-SK-ASN bonet.systems s. r. o., SK
185.242.189.0/24 #AS204691 TIPNET PLAYMAX s.r.o., SK
192.108.125.0/24 #AS34521 ATOS-SK-AS Atos Slovakia s.r.o., SK
213.215.69.0/24 #AS34521 ATOS-SK-AS Atos Slovakia s.r.o., SK
185.227.168.0/22 #AS205168 MAXNETWORK MAXNETWORK s.r.o., SK
176.112.176.0/20 #AS58044 ASFREEZONA free-zona s.r.o., SK
80.77.168.0/24 #AS42244 ESERVER eServer s.r.o., SK
88.218.251.0/24 #AS42244 ESERVER eServer s.r.o., SK
91.189.80.0/23 #AS42244 ESERVER eServer s.r.o., SK
91.189.82.0/24 #AS42244 ESERVER eServer s.r.o., SK
91.189.84.0/22 #AS42244 ESERVER eServer s.r.o., SK
178.218.208.0/21 #AS42244 ESERVER eServer s.r.o., SK
178.218.216.0/23 #AS42244 ESERVER eServer s.r.o., SK
178.218.218.0/24 #AS42244 ESERVER eServer s.r.o., SK
178.218.220.0/22 #AS42244 ESERVER eServer s.r.o., SK
185.115.140.0/24 #AS42244 ESERVER eServer s.r.o., SK
185.191.196.0/22 #AS42244 ESERVER eServer s.r.o., SK
185.242.188.0/24 #AS204690 OLIMSK PLAYMAX s.r.o., SK
185.63.156.0/24 #AS201841 SK-PETITPRESS-ASN Petit Press a.s., SK
185.63.158.0/23 #AS201841 SK-PETITPRESS-ASN Petit Press a.s., SK
195.146.135.0/24 #AS201841 SK-PETITPRESS-ASN Petit Press a.s., SK
195.146.144.0/24 #AS201841 SK-PETITPRESS-ASN Petit Press a.s., SK
