109.233.80.0/21 #AS196874 TELENET-RSM TeleneT San Marino, SM
109.235.104.0/21 #AS15433 TISM Telecom Italia San Marino., SM
185.125.240.0/24 #AS213557 UNDERSCORE, SM
185.159.90.0/24 #AS215511 SA-CONSULTING-SPA-SORG, SM
185.168.168.0/23 #AS48345 AS-ABAVIA, SM
185.21.116.0/22 #AS199325 SEMPLIFY, SM
185.21.132.0/24 #AS212841 SM-AASS, SM
185.45.40.0/22 #AS15433 TISM Telecom Italia San Marino., SM
185.45.68.0/22 #AS15433 TISM Telecom Italia San Marino., SM
185.62.32.0/22 #AS201852 BLUINDACO-AS, SM
185.86.61.0/24 #AS15433 TISM Telecom Italia San Marino., SM
185.86.62.0/23 #AS15433 TISM Telecom Italia San Marino., SM
192.145.48.0/22 #AS196874 TELENET-RSM TeleneT San Marino, SM
192.175.48.1/32 #AS197699 TITANO, SM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS198446 AS-ABAVIA, SM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS62171 VPWR, SM - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
194.0.215.0/24 #AS48345 AS-ABAVIA, SM
194.183.64.0/19 #AS15433 TISM Telecom Italia San Marino., SM
31.193.32.0/21 #AS15433 TISM Telecom Italia San Marino., SM
77.242.208.0/20 #AS15433 TISM Telecom Italia San Marino., SM
85.155.144.0/22 #AS15433 TISM Telecom Italia San Marino., SM
89.186.32.0/19 #AS39759 PASSEPARTOUT Passepartout, SM
91.223.220.0/24 #AS48345 AS-ABAVIA, SM
91.234.215.0/24 #AS48345 AS-ABAVIA, SM
94.232.112.0/21 #AS48345 AS-ABAVIA, SM
