41.82.0.0/15 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
41.208.128.0/18 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
41.214.0.0/17 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
80.15.245.0/24 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
154.124.0.0/15 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
169.239.136.0/24 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
196.1.92.0/22 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
196.1.96.0/22 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
196.207.192.0/18 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
197.214.80.0/20 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
213.154.64.0/19 #AS8346 SONATEL SONATEL-AS Autonomous System, SN
41.219.0.0/18 #AS37196 SUDATEL-SENEGAL, SN
169.239.137.0/24 #AS37196 SUDATEL-SENEGAL, SN
196.216.188.0/22 #AS37288 WACREN, SN
102.164.128.0/18 #AS37649 Tigo, SN
102.203.220.0/22 #AS37649 Tigo, SN
154.65.32.0/21 #AS37649 Tigo, SN
196.50.8.0/21 #AS37649 Tigo, SN
192.175.48.1/32 #AS37773 SENIX-PEERING-AS, SN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37803 HUBSIX-Peering, SN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
