102.211.193.0/24 #AS36892 IPTECH, SS
169.255.136.0/22 #AS36892 IPTECH, SS
41.79.120.0/22 #AS37376 ZAIN-South-Sudan, SS
41.79.24.0/22 #AS37406 RCS, SS
45.148.27.0/24 #AS37406 RCS, SS
105.235.208.0/22 #AS37406 RCS, SS
105.235.212.0/23 #AS37406 RCS, SS
154.73.88.0/22 #AS37406 RCS, SS
196.201.8.0/23 #AS37406 RCS, SS
41.222.72.0/22 #AS37584 FastNetAS, SS
102.64.72.0/22 #AS37594 MTN, SS
197.231.236.0/22 #AS37594 MTN, SS
192.175.48.1/32 #AS37729 South-Sudan-IXP, SS - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
