192.175.48.1/32 #AS24814 SCS-AS ISP based in Damascus, Syria, SY - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
5.0.0.0/16 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
5.104.128.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
5.134.200.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
5.134.224.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
5.155.0.0/16 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.0.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.32.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.48.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.56.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.80.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.96.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.9.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.14.164.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
31.193.64.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
37.48.128.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
37.48.192.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
45.132.196.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.40.128.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.53.0.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.58.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.161.202.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.161.204.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.213.24.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.213.88.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.213.144.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
46.213.240.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
77.44.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
78.110.96.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
78.155.64.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
80.70.120.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.97.208.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.100.128.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.100.160.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.100.176.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.137.192.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.137.224.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.137.240.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.137.242.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.137.244.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
82.137.248.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
83.150.200.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
84.39.192.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
88.86.0.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
89.33.56.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
89.33.224.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
89.34.162.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
89.41.138.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
89.41.140.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
89.47.80.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
90.153.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
91.144.0.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
92.253.224.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
93.113.164.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
93.114.208.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
93.118.48.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.47.0.0/16 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.102.80.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.102.92.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.141.192.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.143.120.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.252.128.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.252.160.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.252.176.0/21 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.252.185.0/24 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.252.186.0/23 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
94.252.188.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
95.140.96.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
95.159.0.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
95.212.0.0/16 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
109.238.144.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
130.0.240.0/20 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
130.180.128.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
145.249.0.0/18 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
145.249.64.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.171.128.0/17 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.218.252.0/22 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
178.253.64.0/19 #AS29256 INT-PDN-STE-AS STE PDN Internal AS, SY
