65.255.48.0/20 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
200.50.89.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
200.50.90.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
204.13.104.0/22 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
205.214.195.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
205.214.199.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
207.254.138.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
207.254.140.0/22 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
208.138.41.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
208.138.44.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
208.169.70.0/23 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
208.169.72.0/24 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
208.169.78.0/23 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
209.236.48.0/22 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
209.236.52.0/23 #AS22933 TCIGATEWAY - Cable and Wireless, Turks and Caicos, TC
