102.131.56.0/22 #AS327975 ILNET-TELECOM, TD
102.164.244.0/22 #AS328310 GLOBALTEL-Networks, TD
102.212.248.0/22 #AS329207 NBSS1-AS, TD
102.220.196.0/22 #AS327756 AIRTEL-, TD
102.223.192.0/22 #AS328604 Sahel-Tele-Internet-AS, TD
102.23.84.0/22 #AS328599 Amanet-SARL, TD
154.73.112.0/22 #AS327756 AIRTEL-, TD
154.73.160.0/21 #AS327802 MILLICOM-CHAD, TD
169.239.120.0/22 #AS327975 ILNET-TELECOM, TD
169.255.152.0/22 #AS327864 ALBIDEYNET, TD
192.175.48.1/32 #AS327836 OTRT-IXP-CHAD, TD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS328956 MDFE1-AS, TD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS37794 N-Djamena-IX-Peering, TD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
197.149.128.0/22 #AS37462 Prestabist, TD
41.242.152.0/21 #AS328594 SAFITELCHAD-AS, TD
