185.246.72.0/22 #AS204579 TH Turkmen hemrasi CJSC, TM
185.69.187.0/24 #AS201558 TFEB-AS The State Bank for Foreign Affairs of Turkmenistan, TM
95.85.113.0/24 #AS215487 TEHNOMERKEZ Tehno Merkez CJSC, TM
185.69.185.0/24 #AS205471 CDMA-AGTS-AS Telephone Network of Ashgabat City CJSC, TM
95.85.96.0/19 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
103.220.0.0/22 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
119.235.112.0/20 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
177.93.143.0/24 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
185.69.184.0/24 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
216.250.8.0/21 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
217.174.224.0/20 #AS20661 TURKMENTELECOM-AS State Company of Electro Communications Turkmentelecom, TM
185.69.186.0/24 #AS59974 TMCELL-NET Altyn Asyr CJSC, TM
