78.135.68.0/24 #AS210410 NETPRIME NETPRIME TELEKOM SAN. ve TIC. LTD.STI, TR
185.79.15.0/24 #AS207024 CLOUDCELL CLOUDCELL TELEKOMUNIKASYON A.S., TR
195.14.104.0/24 #AS207024 CLOUDCELL CLOUDCELL TELEKOMUNIKASYON A.S., TR
91.216.223.0/24 #AS204054 DOGUS-AS Dogus Yayin Grubu A.S, TR
91.213.253.0/24 #AS49861 SAHSUVAROGLU-AS SAHSUVAROGLU MARINA GAYRIMENKUL TURIZM YATIRIMLARI ANONIM SIRKETI, TR
91.213.254.0/24 #AS49861 SAHSUVAROGLU-AS SAHSUVAROGLU MARINA GAYRIMENKUL TURIZM YATIRIMLARI ANONIM SIRKETI, TR
5.181.85.0/24 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.56.16.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.57.16.0/21 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.58.176.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.58.200.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.58.216.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.58.240.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.58.252.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.64.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.80.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.124.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.176.0/21 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.188.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.192.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
31.59.216.0/22 #AS48678 TR-PENTECH-AS Pentech Bilisim Teknolojileri Sanayi Ve Ticaret Limited Sirketi, TR
