211.78.64.0/23 #AS38837 GSNET AION TECHNOLOGIES Inc., TW
211.78.78.0/24 #AS38837 GSNET AION TECHNOLOGIES Inc., TW
160.191.202.0/23 #AS63908 SGU-NET See Get Upstart Technology Co. Ltd., TW
103.122.118.0/24 #AS212358 TW-DANNY-AS WeiXuan Chang, TW
61.57.224.0/20 #AS17710 PIINET-TW President Information Corp., TW
103.234.80.0/22 #AS17710 PIINET-TW President Information Corp., TW
150.107.64.0/22 #AS17710 PIINET-TW President Information Corp., TW
203.79.204.0/23 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.0.0/22 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.64.0/21 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.72.0/24 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.74.0/23 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.76.0/24 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.80.0/23 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
210.200.82.0/24 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
222.251.32.0/20 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
222.251.60.0/22 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
223.22.8.0/24 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
223.22.10.0/24 #AS131142 APOL-AS-TW Asia Pacific On-Line Service Inc., TW
165.99.168.0/24 #AS152628 DBS-NET-AS-TWNIC-01 DBS Bank (Taiwan) Ltd, TW
208.68.183.0/24 #AS152626 CLOUDBASE Cloudbase Network CORP., TW
216.195.220.0/24 #AS152626 CLOUDBASE Cloudbase Network CORP., TW
211.76.144.0/24 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
211.76.146.0/23 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
211.76.148.0/24 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
211.76.150.0/23 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
211.76.152.0/24 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
211.76.155.0/24 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
211.76.156.0/22 #AS18045 SINOPAC SinoPac Holdings Corporate Network, TW
45.64.34.0/24 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.158.104.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.158.128.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.158.220.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.158.244.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.159.72.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.159.96.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.159.112.0/20 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.159.208.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
49.159.248.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
61.58.112.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
61.58.124.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
61.61.213.0/24 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
61.61.228.0/24 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
61.64.8.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
61.64.16.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
115.165.196.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
115.165.200.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
115.165.208.0/20 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
115.165.232.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
115.165.248.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
122.100.96.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
122.254.0.0/19 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
122.254.32.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
124.6.0.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
124.6.12.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
124.6.16.0/22 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
180.218.40.0/21 #AS24165 UBBNET-AS-TW UNION BROADBAND NETWORK, TW
