196.49.12.0/24 #AS327852 AS-AIXP-MGT TIX, TZ
41.74.112.0/20 #AS327771 MILAN-CABLE-TV-AS Milan Cable, TZ
102.218.244.0/22 #AS328895 WINCABLE-AND-INTERNET-LIMITED-AS WINCABLE AND INTERNET LIMITED, TZ
154.72.20.0/22 #AS327728 CTV Cable Television Network Ltd., TZ
102.205.252.0/23 #AS329529 KINETIC Kinetic Networks Limited, TZ
102.205.254.0/24 #AS329529 KINETIC Kinetic Networks Limited, TZ
41.73.160.0/19 #AS36965 ASN-WIA WIA - Building Your Network, TZ
41.221.48.0/20 #AS36965 ASN-WIA WIA - Building Your Network, TZ
102.219.28.0/24 #AS32860 CATS-NET-AS CATS-NET, TZ
196.45.128.0/19 #AS32860 CATS-NET-AS CATS-NET, TZ
41.222.56.0/21 #AS37143 ARUSHA-AS Arusha Art Limited, TZ
102.220.72.0/22 #AS328838 AIM-FIRMS AIM Firms Limited, TZ
