5.133.120.0/22 #AS8193 BRM-AS, UZ
45.150.24.0/22 #AS8193 BRM-AS, UZ
83.222.6.0/23 #AS8193 BRM-AS, UZ
84.54.64.0/19 #AS8193 BRM-AS, UZ
84.54.96.0/20 #AS8193 BRM-AS, UZ
84.54.112.0/24 #AS8193 BRM-AS, UZ
84.54.115.0/24 #AS8193 BRM-AS, UZ
84.54.116.0/22 #AS8193 BRM-AS, UZ
84.54.120.0/22 #AS8193 BRM-AS, UZ
86.62.0.0/22 #AS8193 BRM-AS, UZ
87.192.224.0/20 #AS8193 BRM-AS, UZ
87.192.240.0/21 #AS8193 BRM-AS, UZ
89.104.102.0/24 #AS8193 BRM-AS, UZ
89.223.3.0/24 #AS8193 BRM-AS, UZ
89.249.60.0/22 #AS8193 BRM-AS, UZ
90.156.192.0/21 #AS8193 BRM-AS, UZ
93.188.80.0/21 #AS8193 BRM-AS, UZ
94.230.232.0/24 #AS8193 BRM-AS, UZ
109.94.174.0/23 #AS8193 BRM-AS, UZ
144.124.192.0/20 #AS8193 BRM-AS, UZ
185.4.160.0/22 #AS8193 BRM-AS, UZ
185.203.236.0/22 #AS8193 BRM-AS, UZ
194.93.24.0/22 #AS8193 BRM-AS, UZ
195.158.0.0/19 #AS8193 BRM-AS, UZ
198.163.192.0/20 #AS8193 BRM-AS, UZ
213.230.64.0/18 #AS8193 BRM-AS, UZ
81.95.224.0/20 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.66.0/23 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.68.0/23 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.72.0/22 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.77.0/24 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.78.0/23 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.80.0/22 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.86.0/23 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.88.0/21 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
82.215.112.0/20 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
89.146.64.0/18 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
185.78.136.0/22 #AS12365 SARKOR-AS ISP Sarkor Telecom, UZ
31.40.28.0/22 #AS21001 NETKA-AS, UZ
91.90.216.0/22 #AS21001 NETKA-AS, UZ
94.232.24.0/22 #AS21001 NETKA-AS, UZ
193.107.16.0/22 #AS21001 NETKA-AS, UZ
217.12.80.0/21 #AS25389 UZ-BCC-AS ISP - Amaliy Aloqalar Biznesi Ltd., Tashkent, Uzbekistan, UZ
217.12.88.0/23 #AS25389 UZ-BCC-AS ISP - Amaliy Aloqalar Biznesi Ltd., Tashkent, Uzbekistan, UZ
