# Last 14 days where more than 2 ports overlap per host
# Common ports included in list if not already part of top50 ports found:
# 21,22,23,53,80,123,139,161,162,389,443,445,500,1001,3306,3389,4500,5000,5001,5900,8000,8001,8080,8443,10000
#
# PORTS REPORTED ON INCL TOP50 FOUND
# 0,21,22,23,53,68,80,81,82,83,88,123,137,139,161,162,389,443,445,500,1001,1433,1900,2222,2375,3000,3306,3389,4500,5000,5001,5021,5060,5122,5432,5555,5900,6021,6080,6379,7777,8000,8001,8080,8081,8082,8088,8443,8728,8888,9000,9200,9443,10000,17000,27015,27017
#
#
115.231.78.10    #AS58461    63 ports   10000,10001,1080,110,111,123,143,1433,161,162,1723,1900,2087,21,22,2222,23,2375,25,25565,27015,27017,3000,3306,3389,389,443,4500,500,5000,5001,5060,53,5432,554,5555,6379,6443,7001,7547,7777,80,8000,8001,8006,8008,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9090,9200,9443 CT-HangZhou-IDC - No.288,Fu-chun Road, CN
193.32.162.211   #AS47890    57 ports   10000,10001,110,123,137,139,143,1433,161,162,1900,21,22,2222,23,2375,25,27015,27017,3000,3306,3389,389,443,445,4500,500,5000,5001,5060,53,5432,554,5555,5900,6080,6379,7547,7777,80,8000,8001,8080,8081,8082,8088,8090,81,82,83,8443,8728,88,8888,9000,9200,9443 UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB
78.128.114.174   #AS50360    46 ports   10000,10001,123,143,1433,161,17000,1900,21,22,2222,23,2375,27017,3000,3306,3389,389,443,445,4500,5000,5001,53,554,5555,5900,6080,7547,7777,8000,8001,8080,8081,8082,8088,8090,81,82,83,8443,88,8888,9000,9200,9443 TAMATIYA-AS - Tamatiya EOOD, BG
3.131.24.55      #AS16509    40 ports   10000,10001,1080,123,143,161,1723,2087,21,22,23,25,3000,3389,389,445,4500,5000,554,6379,7547,7777,80,8008,8080,8082,8083,8088,8090,81,8181,83,8443,8728,88,8888,9000,9090,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.119.209.50    #AS16509    38 ports   10000,110,123,143,1433,162,1723,1900,2087,21,22,23,25,27017,3000,3306,445,500,5060,53,5432,6379,7547,7777,80,8001,8080,8083,81,8181,82,83,8443,8728,88,8888,9090,9200 AMAZON-02 - Amazon.com, Inc., US
3.142.170.60     #AS16509    38 ports   10001,1080,110,123,1433,1723,1900,2087,23,25,3000,3306,389,443,4500,500,5000,5001,5060,53,554,6379,7547,7777,8008,8082,8083,8090,81,8181,82,83,8443,8728,8888,9000,9090,9443 AMAZON-02 - Amazon.com, Inc., US
45.198.224.81    #AS215925   38 ports   10000,123,137,1433,161,21,22,2222,23,2375,27017,3000,3306,3389,389,443,445,500,5000,5001,5060,53,5432,5555,5900,6379,7547,80,8000,8080,8081,8082,8443,8728,88,8888,9200,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
3.14.86.234      #AS16509    37 ports   110,137,139,143,1433,161,1723,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
52.15.78.252     #AS16509    37 ports   110,137,139,143,1433,161,1723,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
93.123.109.23    #AS48090    37 ports   10000,110,143,1433,1900,21,22,2222,23,2375,27017,3000,3306,3389,443,445,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,8082,8088,8090,82,8443,8888,9000,9200,9443 DMZHOST - TECHOFF SRV LIMITED, GB
18.119.13.69     #AS16509    36 ports   110,137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.189.28.87     #AS16509    36 ports   110,137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.189.74.1      #AS16509    36 ports   10000,10001,1433,161,162,1723,1900,2087,23,25,3306,3389,445,4500,500,5001,5060,53,5432,554,6379,7547,7777,80,8008,8080,8082,8083,8090,83,8728,88,8888,9090,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.190.15.50     #AS16509    36 ports   10000,1080,110,143,1433,161,1900,2087,21,22,3000,3306,3389,389,445,4500,5000,5001,5060,53,5432,554,7547,7777,80,8000,8008,8080,8083,8090,8181,8728,88,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.217.208.51    #AS16509    36 ports   10000,10001,110,123,143,161,162,1900,2087,21,25,3389,443,445,4500,500,5001,53,554,6379,7547,80,8000,8001,8008,8080,8082,8088,8090,8181,82,8443,8728,88,9200,9443 AMAZON-02 - Amazon.com, Inc., US
3.137.148.99     #AS16509    36 ports   110,137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
120.232.150.70   #AS9808     35 ports   10000,10001,110,111,139,143,1433,161,1723,2087,2222,23,3000,3389,445,5000,5001,5432,554,7777,8000,8001,8008,8081,8082,8083,8088,8090,8181,82,88,8888,9000,9090,9443 CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
18.188.134.51    #AS16509    35 ports   137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.191.69.170    #AS16509    35 ports   137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
3.142.219.55     #AS16509    35 ports   137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
3.144.239.16     #AS16509    35 ports   137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
3.23.59.18       #AS16509    35 ports   137,139,143,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
52.20.198.190    #AS14618    35 ports   10000,143,1433,161,162,1723,2087,21,25,27017,3000,3306,389,443,445,500,5000,5001,53,5432,80,8000,8001,8008,8080,8083,8088,81,8181,82,83,8443,9000,9090,9200 AMAZON-AES - Amazon.com, Inc., US
18.221.100.43    #AS16509    34 ports   137,139,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7547,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
100.49.117.77    #AS14618    33 ports   10000,10001,1080,143,1433,161,162,1723,2087,21,22,25,27017,3000,3306,3389,389,4500,500,5432,7547,7777,80,8001,8008,8083,8090,81,8181,83,8888,9090,9200 AMAZON-AES - Amazon.com, Inc., US
18.221.180.165   #AS16509    33 ports   137,139,1433,161,1900,21,22,2222,23,2375,27017,3306,3389,443,445,5000,53,5432,5555,5900,6379,7777,80,8000,8001,8080,8081,81,82,8443,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
18.221.179.104   #AS16509    32 ports   110,143,1433,161,162,22,23,25,27017,3000,3389,389,443,5000,5001,5432,7547,7777,80,8008,8080,8083,8090,81,82,8443,8728,88,8888,9000,9090,9200 AMAZON-02 - Amazon.com, Inc., US
47.83.127.231    #AS45102    32 ports   10000,10001,143,21,22,2222,23,3000,3306,3389,445,5000,5001,5060,53,5432,554,5555,7547,7777,8000,8001,8080,8081,8082,8088,8090,81,8443,8888,9000,9443 ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
100.28.153.226   #AS14618    31 ports   10000,110,123,143,161,162,1723,2087,21,22,23,27017,5060,53,554,7777,8000,8001,8008,8080,8082,8090,81,82,83,8443,8728,88,9000,9090,9443 AMAZON-AES - Amazon.com, Inc., US
100.50.17.159    #AS14618    31 ports   10000,10001,1080,110,123,143,1433,162,1723,1900,2087,22,25,27017,3000,3306,389,443,4500,5060,53,6379,7777,8001,8008,8080,8083,8088,83,8443,8728 AMAZON-AES - Amazon.com, Inc., US
185.224.128.16   #AS49870    31 ports   10000,10001,3000,443,5000,5001,5060,5432,5555,6080,6379,7777,80,8000,8001,8008,8080,8081,8082,8088,8090,81,8181,82,83,8443,8888,9000,9090,9200,9443 #AS49870-BV - Alsycon B.V., NL
3.83.245.221     #AS14618    31 ports   1080,110,143,1433,162,1723,2087,22,3000,3306,389,443,5000,5001,5060,5432,554,7547,7777,80,8000,8001,8080,8083,8088,8090,8181,8443,8888,9090,9443 AMAZON-AES - Amazon.com, Inc., US
134.199.147.182  #AS14061    30 ports   10000,10001,137,139,161,17000,2375,27015,3389,389,4500,500,5000,5001,5060,5555,5900,6080,7777,8000,8001,8081,8082,8088,8090,81,82,83,8728,88 DIGITALOCEAN-ASN - DigitalOcean, LLC, US
160.119.71.133   #AS49870    30 ports   10000,10001,22,2222,3000,3306,3389,443,445,5000,5001,5060,7547,7777,80,8000,8001,8080,8081,8082,8088,8090,81,82,83,88,8888,9000,9200,9443 AS49870-BV - Alsycon B.V., NL
34.228.104.231   #AS14618    30 ports   110,143,161,162,1900,2087,21,23,27017,3306,3389,500,5000,5060,53,5432,554,7777,80,8000,8080,8090,81,8181,82,83,88,8888,9090,9200 AMAZON-AES - Amazon.com, Inc., US
13.211.217.77    #AS16509    28 ports   10000,1433,21,22,2222,23,27017,3000,3306,3389,443,445,500,5000,5432,6379,80,8000,8001,8080,8081,8082,8088,8443,8888,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
170.64.143.119   #AS14061    28 ports   10000,137,139,161,17000,2375,27015,3389,4500,500,5000,5001,5060,53,5555,5900,6080,7777,8000,8001,8081,8082,8088,81,82,83,8728,88 DIGITALOCEAN-ASN - DigitalOcean, LLC, US
34.197.70.90     #AS14618    28 ports   10001,1080,161,1900,2087,3000,3389,443,445,4500,5000,5060,53,5432,554,7547,8008,8088,8090,81,8181,82,8728,88,9000,9090,9200,9443 AMAZON-AES - Amazon.com, Inc., US
45.205.1.240     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.241     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.242     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.243     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.244     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.245     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.246     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.247     #AS215925   28 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,8181,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
54.206.185.27    #AS16509    28 ports   10000,1433,21,22,2222,23,27017,3000,3306,3389,443,445,500,5000,5432,6379,80,8000,8001,8080,8081,8082,8088,8443,8888,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
54.252.11.191    #AS16509    28 ports   10000,1433,21,22,2222,23,27017,3000,3306,3389,443,445,500,5000,5432,6379,80,8000,8001,8080,8081,8082,8088,8443,8888,9000,9200,9443 AMAZON-02 - Amazon.com, Inc., US
149.50.96.175    #AS201814   27 ports   10000,10001,1001,1433,17000,1900,2222,27015,3306,4500,5000,5001,5021,5060,5432,5555,5900,6021,6080,8001,8080,8082,8088,8888,9000,9200,9443 Mevspace - MEVSPACE sp. z o.o., PL
35.169.206.177   #AS14618    27 ports   10000,1080,110,123,1723,2087,25,27017,3000,3306,3389,389,445,6379,8000,8001,8008,8082,8083,8088,81,8181,8443,88,8888,9000,9200 AMAZON-AES - Amazon.com, Inc., US
45.194.67.26     #AS215925   27 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.27     #AS215925   27 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.29     #AS215925   27 ports   10000,2222,3000,3389,443,5000,5001,5555,7547,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.67.30     #AS215925   25 ports   10000,2222,3000,443,5000,5001,5555,7777,80,8000,8001,8080,8081,8082,8083,8088,8090,81,82,83,8443,88,8888,9000,9443 VPSVAULTHOST - VPSVAULT.HOST LTD, GB
